Name ,Region ,LGA Name,Venue type ,"Expenditure 1 Jul 24 - 31 Dec 24","Expenditure 1 Jan 25 - 30 Jun 25","Expenditure 01 Jul 24 - 30 Jun 25","Average EGM Numbers in June 2025"
ABRUZZO CLUB,Metro,City of Moreland,Club,1065793.62,1169646.48,2235440.1,55
ACES SPORTING CLUB,Metro,City of Greater Dandenong,Club,1492144.21,1447563.15,2939707.36,77
ALBION CHARLES HOTEL,Metro,City of Darebin,Hotel,2070745.09,2142930.94,4213676.03,50
ALBION HOTEL,Metro,City of Greater Dandenong,Hotel,1185952.4,936102.8699999999,2122055.2699999996,24
ALEXANDRA HOUSE SPORTS CLUB,Country,Shire of Southern Grampians,Club,1275929.4700000002,1298430.67,2574360.14,35
ALL SEASONS INTERNATIONAL HOTEL BENDIGO,Country,City of Greater Bendigo,Hotel,7456024.69,7220931.26,14676955.95,100
ALTONA BOWLING CLUB,Metro,City of Hobsons Bay,Club,1026674.6700000002,993045.7799999999,2019720.4500000002,37
ALTONA RSL,Metro,City of Hobsons Bay,Club,2409249.77,2234819.34,4644069.109999999,58
ALTONA SPORTS CLUB,Metro,City of Hobsons Bay,Club,2418961.06,2324650.98,4743612.04,83
AMERICAN HOTEL,Country,Shire of Campaspe,Hotel,889452.8400000001,763900.6400000001,1653353.4800000002,42
AMSTEL GOLF CLUB,Metro,City of Casey,Club,5347948.789999999,4914397.26,10262346.049999999,80
ANGEL TAVERN,Metro,City of Stonnington,Hotel,0,0,0,0
ANGLESEA GOLF CLUB,Country,Shire of Surf Coast,Club,329442.20999999996,383430.06000000006,712872.27,34
ARARAT RSL,Country,Rural City of Ararat,Club,2779505.0100000002,2632688.88,5412193.890000001,55
ASHLEY HOTEL,Metro,City of Maribyrnong,Hotel,5413114.56,5022913.04,10436027.6,50
AUSTRAL HOTEL,Country,Shire of Colac-Otway,Hotel,902753.64,774915.45,1677669.0899999999,23
AUSTRALIAN CROATIAN NATIONAL HALL,Country,City of Greater Geelong,Club,1787921.0699999998,1420507.35,3208428.42,30
BACCHUS MARSH GOLF CLUB,Country,Shire of Moorabool,Club,630802.39,625199.9,1256002.29,30
BAIRNSDALE BOWLS CLUB,Country,Shire of East Gippsland,Club,1452608.4400000002,1311822.72,2764431.16,26
BAIRNSDALE CLUB,Country,Shire of East Gippsland,Club,494397.51,514492.68,1008890.19,15
BAIRNSDALE RSL,Country,Shire of East Gippsland,Club,3720260.92,3787133,7507393.92,51
BAKERS ARMS HOTEL,Metro,City of Yarra,Hotel,2655601.79,2349067.29,5004669.08,32
BALACLAVA HOTEL,Metro,City of Port Phillip,Hotel,2639803.34,2553480.62,5193283.96,45
BALLARAT & DISTRICT TROTTING CLUB,Country,City of Ballarat,Club,3324697.08,3114711.67,6439408.75,50
BALLARAT GOLF CLUB,Country,City of Ballarat,Club,1653236.82,1477358.0999999999,3130594.92,31
BALLARAT LEAGUES CLUB,Country,City of Ballarat,Club,1632131.4,1546895.2600000002,3179026.66,54
BAXTER TAVERN HOTEL MOTEL,Metro,Shire of Mornington Peninsula,Hotel,3876874.84,3486420.12,7363294.96,45
BAYSWATER HOTEL,Metro,City of Knox,Hotel,5369976.89,5466545.63,10836522.52,80
BELL PARK SPORT & RECREATION CLUB,Country,City of Greater Geelong,Club,299531.18,253339.72,552870.9,28
BELL'S HOTEL,Metro,City of Port Phillip,Hotel,1695439.19,1825533.8599999999,3520973.05,40
BENALLA BOWLS CLUB,Country,Rural City of Benalla,Club,1373257.6600000001,1240295.48,2613553.14,50
BENALLA GOLF CLUB,Country,Rural City of Benalla,Club,453065.12,501719.66000000003,954784.78,25
BENDIGO DISTRICT RSL CLUB,Country,City of Greater Bendigo,Club,5387020.36,5209554.039999999,10596574.399999999,83
BENDIGO STADIUM,Country,City of Greater Bendigo,Club,3340491.95,2932900.1000000006,6273392.050000001,105
BENTLEIGH RSL,Metro,City of Glen Eira,Club,5297748.619999999,5335837.86,10633586.48,90
BERWICK INN TAVERNER,Metro,City of Casey,Hotel,5402765.85,5246759.430000001,10649525.280000001,63
BERWICK SPRINGS HOTEL,Metro,City of Casey,Hotel,11659304.58,10738926.26,22398230.84,105
BIRALLEE TAVERN,Country,Rural City of Wodonga,Hotel,975112.6800000002,1075980.3099999998,2051092.99,30
BLACKBURN HOTEL,Metro,City of Whitehorse,Hotel,4352021.5,4053751.16,8405772.66,66
BLAZING STUMP HOTEL,Country,Rural City of Wodonga,Hotel,1221058.35,1018065.95,2239124.3,40
BLEAKHOUSE HOTEL,Metro,City of Port Phillip,Hotel,1246990.02,1452903.9,2699893.92,32
BLUE BELL HOTEL,Country,City of Ballarat,Hotel,3826313.93,3393407.91,7219721.84,40
BORONIA CLUB HOTEL,Metro,City of Knox,Hotel,5706390.41,5234095.140000001,10940485.55,80
BOUNDARY TAVERNER,Metro,City of Glen Eira,Hotel,4532522.4,4025531.2,8558053.600000001,75
BOURKE HILL'S WELCOME STRANGER,Metro,City of Melbourne,Hotel,8186691.94,8049069.02,16235760.96,99
BOX HILL GOLF CLUB,Metro,City of Whitehorse,Club,1473140.52,1351315.8199999998,2824456.34,39
BOX HILL RSL,Metro,City of Whitehorse,Club,6699887.19,6805811.94,13505699.13,103
BRAYBROOK HOTEL,Metro,City of Maribyrnong,Hotel,4822932.4799999995,4318775.22,9141707.7,45
BRIDGE INN HOTEL,Metro,City of Whittlesea,Hotel,7305733.97,6920383.72,14226117.69,60
BRIGHTON BEACH HOTEL,Metro,City of Bayside,Hotel,2137277.7,2170909.6500000004,4308187.350000001,48
BROADMEADOWS SPORTING CLUB,Metro,City of Hume,Club,1158976.7,1069587.79,2228564.49,55
BROWNS CORNER,Metro,City of Moreland,Hotel,2762645.7499999995,2644573.64,5407219.39,35
BUNDOORA TAVERNER,Metro,City of Whittlesea,Hotel,13406597.099999998,12220864.790000001,25627461.89,96
BURVALE HOTEL,Metro,City of Whitehorse,Hotel,5900062.47,5226169.14,11126231.61,72
CARDINIA CLUB,Metro,Shire of Cardinia,Club,5312498.89,5580347.49,10892846.379999999,105
CARDINIA PARK HOTEL,Metro,Shire of Cardinia,Hotel,1451053.93,1335358.12,2786412.05,40
CASA D'ABRUZZO CLUB,Metro,City of Whittlesea,Club,4003559.6000000006,3617728.9399999995,7621288.54,75
CASTELLO'S CARDINIA HOTEL,Metro,Shire of Cardinia,Hotel,3523841.5300000003,3352801.17,6876642.7,70
CAULFIELD GLASSHOUSE,Metro,City of Glen Eira,Club,5373661.92,5141042.100000001,10514704.02,105
CAULFIELD RSL,Metro,City of Glen Eira,Club,1329760.4200000002,1174888.7,2504649.12,52
CENTRAL POINT MELBOURNE,Metro,City of Melbourne,Club,7174381.030000001,6248964.08,13423345.110000001,76
CENTURY CITY WALK,Metro,City of Monash,Hotel,6469658.090000001,6409231.42,12878889.510000002,65
CHALAMBAR GOLF CLUB,Country,Rural City of Ararat,Club,693687.79,617199.52,1310887.31,33
CHELSEA HEIGHTS HOTEL,Metro,City of Kingston,Hotel,2764417.12,2564836.38,5329253.5,40
CHELTENHAM MOORABBIN RSL,Metro,City of Kingston,Club,1224297.16,1224615.21,2448912.37,41
CHERRY HILL HOTEL,Metro,City of Manningham,Hotel,3782919.5999999996,3695852.29,7478771.89,50
CHIRNSIDE PARK COUNTRY CLUB,Metro,Shire of Yarra Ranges,Club,1158299,959896.97,2118195.9699999997,37
CITY BOWLS CLUB COLAC,Country,Shire of Colac-Otway,Club,602015.93,499296.9,1101312.83,20
CITY FAMILY HOTEL,Country,City of Greater Bendigo,Club,1048130.3300000001,1034490.6299999999,2082620.96,39
CITY MEMORIAL BOWLS CLUB,Country,City of Warrnambool,Club,2127432.9000000004,2279058.66,4406491.5600000005,38
CLAYTON BOWLS CLUB,Metro,City of Kingston,Club,1070743.85,1108656.8800000001,2179400.7300000004,29
CLAYTON RSL,Metro,City of Monash,Club,2550272.37,2354810.9,4905083.27,71
CLIFTON SPRINGS GOLF CLUB,Country,City of Greater Geelong,Club,2766291.45,2575573.1100000003,5341864.5600000005,50
CLOCKS AT FLINDERS STREET STATION,Metro,City of Melbourne,Club,8303880.72,7832201.57,16136082.29,99
CLUB EASTWOOD,Country,Shire of East Gippsland,Club,2064228.4900000002,1903734.5799999998,3967963.0700000003,37
CLUB HOTEL (FERNTREE GULLY),Metro,City of Knox,Hotel,2416465.62,2233047.39,4649513.01,40
CLUB HOTEL (WARRAGUL),Country,Shire of Baw Baw,Club,1137410.83,1074019.29,2211430.12,30
