Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,ABRUZZO CLUB,Metro,City of Moreland,Club,Country,Club.1
,,,,,,,,,,,,ACES SPORTING CLUB,Metro,City of Greater Dandenong,Club,Metro,Hotel
,,,,,,,,,,,,ALBION CHARLES HOTEL,Metro,City of Darebin,Hotel,,
,,,,,,,,,,,,ALBION HOTEL,Metro,City of Greater Dandenong,Hotel,,
,,,,,,,,,,,,ALEXANDRA HOUSE SPORTS CLUB,Country,Shire of Southern Grampians,Club,,
,,,,,,,,,,,,ALL SEASONS INTERNATIONAL HOTEL BENDIGO,Country,City of Greater Bendigo,Hotel,,
Electronic Gaming Machine Venue Level Expenditure,,,,,,,,,,,,ALTONA BOWLING CLUB,Metro,City of Hobsons Bay,Club,,
,,,,,,,,,,,,ALTONA RSL,Metro,City of Hobsons Bay,Club,,
NOTE: Yellow highlights below represent filterable fields. Place cursor over field to access options,,,,,,,,,,,,ALTONA SPORTS CLUB,Metro,City of Hobsons Bay,Club,,
,,,,,,,,,,,,AMERICAN HOTEL,Country,Shire of Campaspe,Hotel,,
TABLE A: 3 Year Expenditure Summary by Venue,,,,,,,,,,,,AMSTEL GOLF CLUB,Metro,City of Casey,Club,,
,,,,,,,,,,,,ANGEL TAVERN,Metro,City of Stonnington,Hotel,,
VENUE NAME,EGM Number,EGM EXPENDITURE,,,,,,,,,,ANGLESEA GOLF CLUB,Country,Shire of Surf Coast,Club,,
,,,,,,,,,,,,ARARAT RSL,Country,Rural City of Ararat,Club,,
,2025-06-30 00:00:00,Jul - Dec 24,Jan - Jun 25,TOTAL,,,,,,,,ASHLEY HOTEL,Metro,City of Maribyrnong,Hotel,,
ABRUZZO CLUB,55,1065793.62,1169646.48,2235440.1,,,,,,,,AUSTRAL HOTEL,Country,Shire of Colac-Otway,Hotel,,
,,,,,,,,,,,,AUSTRALIAN CROATIAN NATIONAL HALL,Country,City of Greater Geelong,Club,,
,2024-06-30 00:00:00,Jul - Dec 23,Jan - Jun 24,TOTAL,,,,,,,,BACCHUS MARSH GOLF CLUB,Country,Shire of Moorabool,Club,,
,55,926036.38,964002.4,1890038.78,,,,,,,,BAIRNSDALE BOWLS CLUB,Country,Shire of East Gippsland,Club,,
