Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,City of Whittlesea,M26,Metro,Country
,,,,,,,,,,,Shire of Nillumbik,M16,Metro,Metro
,,,,,,,,,,,RURAL CITY OF ARARAT,C43,Country,
,,,,,,,,,,,Shire of Northern Grampians,C14,Country,
,,,,,,,,,,,Borough of Queenscliffe,C1,Country,
,,,,,,,,,,,City of Greater Geelong,C21,Country,
,,,,,,,,,,,,,,
Electronic Gaming Machine LGA Level Density and Expenditure,,,,,,,,,,,SHIRE OF CORANGAMITE,C3,Country,
,,,,,,,,,,,Shire of Colac-Otway,C18,Country,
NOTE: Yellow highlight below represent filterable fields. Place cursor on field to access filter options.,,,,,,,,,,,SHIRE OF HEPBURN,C26,Country,
,,,,,,,,,,,Shire of Moorabool,C22,Country,
TABLE A: 3 Year Statistical Summary by LGA,,,,,,,,,,,SHIRE OF CENTRAL GOLDFIELDS,C31,Country,
,,,,,,,,,,,SHIRE OF MOUNT ALEXANDER,C47,Country,
LGA SELECTION:,,City of Whittlesea,,,,,,,,,SHIRE OF MANSFIELD,C49,Country,
,,,,,,,,,,,SHIRE OF MURRINDINDI,C41,Country,
STATISTIC,2023/24,2022/23,2021/2022,,,,,,,,Shire of Mitchell,C13,Country,
,,,,,,,,,,,SHIRE OF TOWONG,C34,Country,
Gaming Machine Expenditure,139026831.82000002,137846028.25,97729563.6,,,,,,,,Shire of Alpine,C2,Country,
SEIFA DIS Score ,989.6036133,989.6036133,991,,,,,,,,SHIRE OF MOIRA,C17,Country,
SEIFA DIS Rank State ,31,31,36,,,,,,,,SHIRE OF STRATHBOGIE,C42,Country,
SEIFA DIS Rank Country ,0,0,0,,,,,,,,Rural City of Benalla,C48,Country,
SEIFA DIS Rank Metro ,5,5,4,,,,,,,,SHIRE OF GANNAWARRA,C38,Country,
SEIFA ADVDIS Score ,980.8227931,980.8227931,982,,,,,,,,Shire of Campaspe,C10,Country,
SEIFA ADVDIS Rank State ,41,41,47,,,,,,,,Shire of Glenelg,C25,Country,
SEIFA ADVDIS Rank Country ,0,0,0,,,,,,,,SHIRE OF SOUTHERN GRAMPIANS,C37,Country,
SEIFA ADVDIS Rank Metro ,5,5,6,,,,,,,,Shire of Wellington,C12,Country,
Adult Population  ,189810.877672327,193914.17499444837,188501.04829968465,,,,,,,,Rural City of Wodonga,C15,Country,
Adults per Venue as at June,18981.0877672327,19391.417499444837,18850.104829968466,,,,,,,,City of Warrnambool,C16,Country,
"EGMs per 1,000 Adults  as at June",3.6299289505917023,3.5582752009735965,3.649847076214647,,,,,,,,City of Greater Bendigo,C19,Country,
Expenditure per Adult as at June,732.4492332836891,710.8610201082331,518.4563400656881,,,,,,,,City of Ballarat,C20,Country,
Workforce as at June ,135924,127420,127425,,,,,,,,Rural City of Swan Hill,C23,Country,
Unemployed as at June,6849,5385,5912,,,,,,,,City of Greater Shepparton,C24,Country,
Unemployment rate as at June ,0.05038845237044231,0.042261811332600846,0.04639591916813812,,,,,,,,Rural City of Mildura,C27,Country,
,,,,,,,,,,,Shire of East Gippsland,C28,Country,
,,,,,,,,,,,Shire of Bass Coast,C29,Country,
TABLE B: 3 Year Statistical Summary by Region (Country / Metro),,,,,,,,,,,City of Latrobe,C30,Country,
,,,,,,,,,,,Shire of Surf Coast,C33,Country,
