LGA Name,LGA,Region,TOTAL Net Expenditure ($),SEIFA DIS Score, SEIFADIS Rank State,SEIFA DIS RANK COUNTRY,SEIFA DIS RANK METRO,SEIFA ADVDIS Score,SEIFA ADVDIS Rank State,SEIFA ADVDIS RANK COUNTRY,SEIFA ADVDIS RANK METRO,Adult Population 2022,Adults per Venue 2022,"EGMs per 1,000 Adults 2022",EXP per Adult 2022,Unemployed Workforce as at June 2022,as at June 2022,Unemployment rate as at June 2022
City of Whittlesea,M26,Metro,97729563.6,991,36,0,4,982,47,0,6,188501.04829968465,18850.104829968466,3.649847076214647,518.4563400656881,127425,5912,0.04639591916813812
Shire of Nillumbik,M16,Metro,7180438.58,1099,80,0,31,1093,76,0,27,50553.43971662139,25276.719858310695,1.780294288667543,142.03659771224537,39487,650,0.016461113784283436
RURAL CITY OF ARARAT,C43,Country,4188923.5700000003,942,8,6,0,931,9,7,0,9867.702064401114,4933.851032200557,8.816642358291567,424.5085170449188,5461,206,0.03772202893242996
Shire of Northern Grampians,C14,Country,3627235.730000001,937,6,4,0,921,4,4,0,9140.1510542914,4570.0755271457,8.752590578077932,396.84636593582053,5712,181,0.03168767507002801
Borough of Queenscliffe,C1,Country,1353727.22,1075,75,47,0,1070,71,48,0,2589.324244994299,2589.324244994299,11.586034486795628,522.8110085544657,1616,17,0.01051980198019802
City of Greater Geelong,C21,Country,104148198.03,994,41,35,0,980,44,40,0,217368.29396582884,8694.731758633154,6.150851053788838,479.1324260306911,143610,4056,0.028243158554418217
SHIRE OF CORANGAMITE,C3,Country,2396577.43,977,28,24,0,959,28,25,0,12464.527064722057,6232.263532361028,4.572977354377547,192.27183009477793,8082,182,0.022519178421182874
Shire of Colac-Otway,C18,Country,6671347.850000001,961,20,17,0,939,19,17,0,17206.830282593568,3441.366056518714,6.3928101918501525,387.71509571688733,11324,289,0.0255210173083716
SHIRE OF HEPBURN,C26,Country,2698681.08,995,44,37,0,979,43,39,0,13358.942117161265,6679.471058580632,4.266804923630609,202.013082797417,8037,231,0.02874206793579694
Shire of Moorabool,C22,Country,9441387.02,1010,53,41,0,988,49,42,0,28781.501373775413,9593.83379125847,3.821899301619746,328.03664052781573,20316,784,0.03859027367592046
SHIRE OF CENTRAL GOLDFIELDS,C31,Country,6921801.62,889,1,1,0,870,1,1,0,10984.502942104406,5492.251471052203,9.01269729925837,630.1424521876386,5287,402,0.076035558918101
SHIRE OF MOUNT ALEXANDER,C47,Country,2291143.4,995,42,36,0,979,42,38,0,16616.194580915733,16616.194580915733,1.8054675427583176,137.88616815016456,9544,267,0.02797569153394803
SHIRE OF MANSFIELD,C49,Country,1486887.4100000001,1015,56,42,0,986,48,41,0,7436.6834310428,7436.6834310428,5.3787417967838715,199.93958648196795,5156,75,0.014546159813809155
SHIRE OF MURRINDINDI,C41,Country,1837925.37,996,45,38,0,973,38,34,0,12373.27492745909,12373.27492745909,2.0204836752248476,148.53992825466352,7881,207,0.02626570232204035
Shire of Mitchell,C13,Country,15099083.259999998,997,47,39,0,972,37,33,0,39139.71096773695,9784.927741934238,5.109899768162849,385.7740102487278,26825,950,0.035414725069897485
SHIRE OF TOWONG,C34,Country,255236.76,992,38,33,0,974,39,35,0,4991.7600740463595,4991.7600740463595,2.003301411057988,51.131616146186914,3163,69,0.021814732848561492
Shire of Alpine,C2,Country,2381438.7,994,39,34,0,970,35,32,0,10465.074245600681,5232.5371228003405,5.542244482821715,227.56061200436412,6808,122,0.017920094007050528
SHIRE OF MOIRA,C17,Country,4757365.64,951,15,12,0,930,8,6,0,24179.053398678596,12089.526699339298,4.259885542319412,196.7556612559528,12891,235,0.018229772709642385
SHIRE OF STRATHBOGIE,C42,Country,1575659.7700000003,974,26,22,0,957,26,22,0,9054.218833359386,9054.218833359386,3.534264036351664,174.0249268324105,5627,134,0.02381375510929447
Rural City of Benalla,C48,Country,5759311.140000001,951,16,13,0,936,15,13,0,11603.128667111487,3867.7095557038288,9.049283431426343,496.3584654822016,6954,215,0.03091745757837216
SHIRE OF GANNAWARRA,C38,Country,1690859.4299999997,957,18,15,0,934,13,12,0,8384.845721701135,8384.845721701135,5.366825042890629,201.6565940651505,5025,143,0.02845771144278607
Shire of Campaspe,C10,Country,9299310.23,967,23,18,0,943,20,18,0,30001.997642342434,7500.4994105856085,6.966202800610651,309.9563682678147,17271,338,0.019570378090440623
Shire of Glenelg,C25,Country,6903658.86,947,12,9,0,925,6,5,0,15840.925222780566,3960.2313056951416,7.575315097594807,435.8115932566846,9808,385,0.039253670473083195
